keyword,title,price,url,shipping_x,scraped_at,title_full,price_item,condition,shipping_y,marca,linha,modelo,cor,tamanho_da_tela,é_dual_sim,memória_interna,memória_ram,rede_móvel,número_de_homologação_da_anatel,ano_de_lançamento,tipo_de_conector_de_carregamento,com_conector_usb,com_conector_jack_3_5_mm,com_wi_fi,com_gps,com_bluetooth,com_nfc,resolução_da_câmera_traseira_principal,resolução_de_vídeo_da_câmera_traseira,resolução_da_câmera_frontal_principal,resolução_das_câmeras_traseiras,abertura_do_diafragma_da_câmera_traseira,resolução_das_câmeras_frontais,abertura_do_diafragma_da_câmera_frontal,quantidade_de_câmeras_traseiras,quantidade_de_câmeras_frontais,resolução_de_vídeo_da_câmera_frontal,com_câmera,com_flash_na_câmara_frontal,peso,altura_x_largura_x_profundidade,com_acelerômetro,com_sensor_de_proximidade,com_giroscópio,com_bússola,com_barômetro,quantidade_de_ranhuras_para_cartão_sim,quantidade_de_esims,tamanhos_de_cartão_sim_compatíveis,com_esim,nome_do_sistema_operacional,versão_original_do_sistema_operacional,modelo_do_processador,mês_de_lançamento,tipo_de_resolução_da_tela,resolução_da_tela,tecnologia_da_tela,tipo_de_tela,pixels_por_polegada_da_tela,brilho_máximo_da_tela,com_tela_tátil,tipo_de_bateria,com_carregamento_rápido,com_carregamento_sem_fio,com_bateria_removível,com_leitor_de_impressão_digital,com_reconhecimento_facial,com_botão_sos,classificação_ip,com_teclado_qwerty_físico,é_resistente_a_salpicos,é_resistente_à_água,é_resistente_ao_pó,é_resistente_a_quedas,inclui_lápis
iphone-14,iPhone 14 Pro 512gb (product)red Usado Com Marcas,4289,https://produto.mercadolivre.com.br/MLB-3929199265-iphone-14-pro-512gb-productred-usado-com-marcas-_JM?searchVariation=186372810549,Frete grátis,2025-05-18 18:20:10.969264,iPhone 14 Pro 512gb (product)red Usado Com Marcas (Recondicionado),4289,Recondicionado  |  1 vendido,"em 12x R$ 379 , 26",Apple,iPhone 14 Pro,iPhone 14 Pro,,"6,1 """,Não,512 GB,,5G,111142201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,48 Mpx,3840 px x 2160 px,12 Mpx,48 Mpx/12 Mpx/12 Mpx,f 1.78 / f 2.2 / f 1.78,12 Mpx,f 1.9,3,1,3840 px x 2160 px,Sim,Sim,206 g,14.75 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A16 Bionic,Setembro,OLED,2556 px x 1179 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,Iphone 14 128gb Azul - Excelente - Recondicionado Azul,3329,https://www.mercadolivre.com.br/iphone-14-128gb-azul--excelente--recondicionado/up/MLBU2605351085,Frete grátis,2025-05-18 18:20:10.969264,Iphone 14 128gb Azul - Excelente - Recondicionado Azul,3329,Recondicionado  |  +5 vendidos,"em 12x R$ 277 , 42 sem juros",Apple,iPhone 14,iPhone 14,Azul,"6,1 """,Não,,,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,14.67 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,iPhone 14 Plus 128gb Roxo Usado Com Marcas,4249,https://produto.mercadolivre.com.br/MLB-5033942120-iphone-14-plus-128gb-roxo-usado-com-marcas-_JM?searchVariation=184594717807,Frete grátis,2025-05-18 18:20:10.969264,iPhone 14 Plus 128gb Roxo Usado Com Marcas (Recondicionado),4249,Recondicionado  |  2 vendidos,"em 12x R$ 336 , 38 sem juros",Apple,iPhone 14 Plus,iPhone 14 Plus,,"6,7 """,Não,128 GB,6 GB,5G,109872201993,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,iOS,,Apple A15 Bionic,,,,,,,,,,,,,,,,,,,,,,
iphone-14,Apple iPhone 14 Plus 128gb 6gb Ram 6.7'' Câmera 12mp Outlet,8999,https://produto.mercadolivre.com.br/MLB-5353730434-apple-iphone-14-plus-128gb-6gb-ram-67-cmera-12mp-outlet-_JM?searchVariation=183373409450,Frete grátis,2025-05-18 18:20:10.969264,Apple iPhone 14 Plus 128gb 6gb Ram 6.7'' Câmera 12mp Outlet (Recondicionado),8999,Recondicionado,"em 12x R$ 749 , 92 sem juros",Apple,iPhone 14,iPhone 14 Plus,,"6,7 """,Não,128 GB,4 GB,5G,109872201993,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iphone-14,Apple iPhone 14 (512 GB) - (PRODUCT)RED - Distribuidor Autorizado,9151,https://www.mercadolivre.com.br/apple-iphone-14-512-gb-productred-distribuidor-autorizado/p/MLB1019615326,Frete grátis,2025-05-18 18:20:10.969264,Apple iPhone 14 (512 GB) - (PRODUCT)RED - Distribuidor Autorizado,9151,Novo  |  3 vendidos,"em 12x R$ 762 , 66 sem juros",Apple,iPhone 14,iPhone 14,(Product)Red,"6,1 """,Não,512 GB,6 GB,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,14.67 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Não,Não
iphone-14,Apple iPhone 14 Plus (256 GB) - (PRODUCT)RED,7999,https://www.mercadolivre.com.br/apple-iphone-14-plus-256-gb-productred/p/MLB19615335,Frete grátis,2025-05-18 18:20:10.970265,Apple iPhone 14 Plus (256 GB) - (PRODUCT)RED,7999,Novo  |  +5 vendidos,"em 12x R$ 666 , 58 sem juros",Apple,iPhone 14,iPhone 14 Plus,(Product)Red,"6,7 """,Não,256 GB,6 GB,5G,109872201993,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iphone-14,Apple iPhone 14 Pro Max (256 GB) - Prateado,6999,https://www.mercadolivre.com.br/apple-iphone-14-pro-max-256-gb-prateado/p/MLB19615340,Frete grátis,2025-05-18 18:20:10.970265,Apple iPhone 14 Pro Max (256 GB) - Prateado,6999,Novo  |  +100 vendidos,"em 12x R$ 672 , 72",Apple,iPhone 14,iPhone 14 Pro Max,Prateado,"6,7 """,Não,256 GB,6 GB,5G,111172201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,48 Mpx,48 Mpx/12 Mpx/12 Mpx,f 1.78 / f 2.2 / f 1.78,12 Mpx,f 1.9,3,1,4K,Sim,Sim,240 g,16.07 cm x 7.77 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A16 Bionic,Setembro,OLED,2796 px x 1290 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,iPhone 14 Plus 128gb Roxo Usado Com Marcas,4049,https://produto.mercadolivre.com.br/MLB-5033851690-iphone-14-plus-128gb-roxo-usado-com-marcas-_JM?searchVariation=184594731467,Frete grátis,2025-05-18 18:20:10.970265,iPhone 14 Plus 128gb Roxo Usado Com Marcas (Recondicionado),4049,Recondicionado,"em 12x R$ 358 , 04",Apple,iPhone 14 Plus,iPhone 14 Plus,,"6,7 """,Não,128 GB,6 GB,5G,109872201993,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,iOS,,Apple A15 Bionic,,,,,,,,,,,,,,,,,,,,,,
iphone-14,"iPhone 14 Apple (128gb) Estelar, Tela De 6,1 , 5g",4278,https://produto.mercadolivre.com.br/MLB-3488160592-iphone-14-apple-128gb-estelar-tela-de-61-5g-_JM,Frete grátis,2025-05-18 18:20:10.970265,"iPhone 14 Apple (128gb) Estelar, Tela De 6,1 , 5g",4278,Novo  |  +25 vendidos,Apple,Apple,iPhone 14,ND,Estelar,"6,06 """,Sim,128 GB,0 MB,5G,,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5 / f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,7.15 cm x 14.7 cm x 8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 ppi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,Apple iPhone 14 Plus (512 GB) - (PRODUCT)RED,8499,https://www.mercadolivre.com.br/apple-iphone-14-plus-512-gb-productred/p/MLB19615328,Frete grátis,2025-05-18 18:20:10.970265,Apple iPhone 14 Plus (512 GB) - (PRODUCT)RED,8499,Novo  |  2 vendidos,"em 12x R$ 708 , 25 sem juros",Apple,iPhone 14,iPhone 14 Plus,(Product)Red,"6,7 """,Não,512 GB,4 GB,5G,109872201993,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iphone-14,Iphone 14 Pro Max 256gb Preto - Muito Bom - Garantia 1 Ano Preto,5699,https://www.mercadolivre.com.br/iphone-14-pro-max-256gb-preto--muito-bom--garantia-1-ano/up/MLBU2891692850,Frete grátis,2025-05-18 18:20:10.970265,Iphone 14 Pro Max 256gb Preto - Muito Bom - Garantia 1 Ano Preto,5699,Recondicionado  |  4 vendidos,"em 12x R$ 474 , 92 sem juros",Apple,iPhone 14,iPhone 14 Pro Max,Preto,"6,7 """,Não,256 GB,6 GB,5G,111172201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,48 Mpx,48 Mpx/12 Mpx/12 Mpx,f 1.78/f 2.2/f 1.78,12 Mpx,f 1.9,3,1,4K,Sim,Sim,240 g,16.07 cm x 7.77 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A16 Bionic,Setembro,OLED,2796 px x 1290 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,Apple iPhone 14 (512 GB) - Média noite,5500,https://www.mercadolivre.com.br/apple-iphone-14-512-gb-media-noite/p/MLB19615351,Frete grátis,2025-05-18 18:20:10.971263,Apple iPhone 14 (512 GB) - Média noite,5500,Novo  |  +5 vendidos,"em 12x R$ 528 , 64",Apple,iPhone 14,iPhone 14,Meia‑noite,"6,1 """,Não,512 GB,6 GB,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,14.67 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Não,Não
iphone-14,Apple iPhone 14 (128 Gb) Branco + Todos Os Acessórios - 100%,3699,https://produto.mercadolivre.com.br/MLB-4057546839-apple-iphone-14-128-gb-branco-todos-os-acessorios-100-_JM?searchVariation=187879820535,Frete grátis,2025-05-18 18:20:10.971263,Apple iPhone 14 (128 Gb) Branco + Todos Os Acessórios - 100% (Recondicionado),3699,Recondicionado,"em 12x R$ 308 , 25 sem juros",Apple,iPhone 14,iPhone 14,,"6,1 """,Não,128 GB,4 GB,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,14.67 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Não,Não
iphone-14,Apple iPhone 14 Pro (512 Gb) - Cor dourada - Excelente (Recondicionado),6039,https://www.mercadolivre.com.br/apple-iphone-14-pro-512-gb-cor-dourada-excelente-recondicionado/p/MLB2000128752,Frete grátis,2025-05-18 18:20:10.971263,Apple iPhone 14 Pro (512 Gb) - Cor dourada - Excelente (Recondicionado),6039,Recondicionado  |  4 vendidos,"em 12x R$ 467 , 80 sem juros",Apple,iPhone 14,iPhone 14 Pro,Dourado,"6,1 """,Não,512 GB,6 GB,5G,111142201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,48 Mpx,3840 px x 2160 px,12 Mpx,48 Mpx/12 Mpx/12 Mpx,f 1.78 / f 2.2 / f 1.78,12 Mpx,f 1.9,3,1,3840 px x 2160 px,Sim,Sim,206 g,14.75 cm x 7.15 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A16 Bionic,Setembro,OLED,2556 px x 1179 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Sim,Não
iphone-14,"iPhone 14 Apple (128gb) Meia-noite, Tela De 6,1 , 5g",4278,https://produto.mercadolivre.com.br/MLB-3488334188-iphone-14-apple-128gb-meia-noite-tela-de-61-5g-_JM,Frete grátis,2025-05-18 18:20:10.971263,"iPhone 14 Apple (128gb) Meia-noite, Tela De 6,1 , 5g",4278,Novo  |  +5 vendidos,Apple,Apple,iPhone 14,iPhone 14,Meia-noite,"6,06 """,Sim,128 GB,0 MB,5G,109862201993,2022,Lightning,Não,Não,Sim,Sim,Sim,Sim,12 Mpx,4K,12 Mpx,12 Mpx,f 1.5/f 2.4,12 Mpx,f 1.9,2,1,4K,Sim,Sim,172 g,7.15 cm x 14.7 cm x 7.8 mm,Sim,Sim,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,16,Apple A15 Bionic,Setembro,OLED,2532 px x 1170 px,OLED,Retina,460 dpi,2.000 cd/m²,Sim,Íon de lítio,Sim,Sim,Não,Não,Sim,Sim,IP68,Não,Sim,Sim,Sim,Não,Não
